id,name,che_number,region_town,region_canton,regionId,recipientIds,grantIds,scope1Ids,scope2Ids,innochainIds,educhainIds,coords,website
554,Stiftung Henriette und Hans-Rudolf Dubach-Bucher,CHE-238.509.595,Luzern,Luzern,5,"1,2,3","2,3,4","1,2",2,2,"2,3,4,5,6,8","47.0653700,8.3106957",
555,Stiftung WirtschaftsSchule Thun,CHE-109.347.433,Thun,Bern,1,1,4,2,"1,2",,"2,3,4,5,6,7","46.7499831,7.6320373",http://www.wst.ch/die-wst/kommissionen/stiftung-wirtschaftsschule-thun
556,Fondazione Federico Zichy Thyssen,CHE-292.959.851,Lugano,Ticino,5,"1,2,3,4","2,4",2,2,,5,"46.0073167,8.9501807",
557,Maya Behn-Eschenburg Stiftung,CHE-114.019.609,Zürich,Zürich,5,"2,3",2,2,"1,2",,"1,2,3,4","47.3698308,8.5438325",
558,Geneva Agape Foundation (Fondation Agape Genève),CHE-379.581.142,Le Grand-Saconnex,Genève,5,"1,2,3,4",2,2,2,,8,"46.2298655,6.1285697",
559,JACOBS STIFTUNG,CHE-109.625.477,Zürich,Zürich,5,2,"2,4","1,2","1,2","1,2","1,2,3","47.3597065,8.5480707",http://jacobsfoundation.org/de/
560,Kairos-Stiftung zur Förderung der Forschung der Beziehungen der Schweiz zum Ausland,CHE-116.308.680,Zürich,Zürich,5,"1,2,3","2,4,5",1,"1,2","1,2",,"47.3721244,8.5392266",
561,Coralma Stiftung,CHE-114.366.985,Meggen,Luzern,2,"1,2,3",2,"1,2",2,"1,2",8,"47.0537501,8.3928212",
562,Stiftung der Baloise Bank SoBa zur Förderung der solothurnischen Wirtschaft,CHE-100.660.958,Solothurn,Solothurn,3,"1,2,4",5,"1,2","1,2","1,2,3,4,5,6",8,"47.2090871,7.5337835",https://www.baloise.ch/de/ueber-uns/engagement/stiftung-baloise-bank-soBa.html
563,Rudolf und Romilda Kägi - Stiftung,CHE-196.407.018,Männedorf,Zürich,2,"1,2,3","2,4","1,2",2,"1,2","5,6,8","47.2481107,8.7009925",
564,Stiftung Dreiklang für ökologische Forschung und Bildung,CHE-113.977.726,Basel,Basel-Stadt,6,"1,2,3,4","1,2,4","1,2",2,"1,2,3,4,5,6","4,6,7","47.5343410,7.5997798",
565,YouthAid Foundation,CHE-431.910.176,Zürich,Zürich,5,"1,2,3,4","1,2,4","1,2","1,2","1,2","2,3","47.3693159,8.5397229",
