id,en,de,fr,it
1,communal,Kommunal,communal,comunale
2,regional,Regional,régional,regionale
3,cantonal,Kantonal,cantonal,cantonale
4,national,National,national,nazionale
5,international,International,international,internazionale
6,unknown,Unbekannt,inconnu,sconosciuto
