id,en,de,fr,it
1,natural person,natürliche Person,personne naturelle,persona naturale
2,school / university,Schule / Universität,école / université,scuola / università
3,non profit organisation,Non-Profit Organisation,organisation à but non lucratif,organizzazione senza scopo di lucro
4,company,Unternehmen,entreprise,azienda
