id,en,de,fr,it
1,organisation grant,Organisationszuschuss,subvention organisationnelle,sovvenzione di organizzazione
2,project grant,Projektzuschuss,subvention de projet,sovvenzione di progetto
3,dissemination grant,Verbreitungszuschuss,subvention de diffusion,contributo di divulgazione
4,person grant,Personenzuschuss,subvention individuelle,sovvenzione individuale
5,award,Auszeichung,prix,Premio
