id,en,de,fr,it
1,preschool,Vorschule,préscolaire,prescolare
2,primary school,Primarstufe,degré primaire,primario
3,secondary level 1,Sekundarstufe 1,degré secondaire 1,livello secondario 1
4,secondary level 2,Sekundarstufe 2,degré secondaire 2,livello secondario 2
5,tertiary level A,Tertiärstufe A,degré tertiaire A,livello terziario A
6,tertiary level B,Tertiärstufe B,degré tertiaire B,livello terziario B
7,continuing education,Weiterbildung,formation continue,formazione continua
8,informal,informell,informel,informale
