id,name,che_number,region_town,region_canton,regionId,recipientIds,grantIds,scope1Ids,scope2Ids,innochainIds,educhainIds,coords,website
1384,Stiftung IH&RA für die Zukunft,CHE-112.973.045,Zürich,Zürich,5,2,"1,2,3,4","1,2",2,2,"4,5,6","47.3818149,8.5353261",
1387,Veryta Foundation,CHE-112.980.476,Lugano,Ticino,5,"1,2,3","1,2,3,4","1,2","1,2","1,2,3,4,5,6","2,3,4,5,6","46.0083876,8.9610255",
1389,Comanis Foundation,CHE-112.989.431,Bern,Bern,5,3,2,"1,2",2,2,"1,2,3,4,5","46.9505311,7.4579323",http://www.comanis.ch/en/purpose/purpose.htm
1394,bilding - Schweizerische Stiftung zur Förderung des Ingenieurnachwuchses im Bauwesen,CHE-113.012.964,Bern,Bern,4,"1,2","1,5",2,1,,"3,4,5,6,8","46.9456137,7.4367936",http://www.bilding.ch
1405,Hekla Stiftung,CHE-113.070.654,Zürich,Zürich,5,"1,2,3","1,2,4","1,2","1,2","1,2","1,2,3,4,5,6,7","47.3741677,8.5352094",
1406,"Stiftung zur Pflege von Mensch, Mitwelt und Erde",CHE-113.079.632,Münsingen,Bern,4,"1,2,3,4","1,2","1,2",2,"1,2","2,3,4,5,6,7,8","46.8737603,7.5690470",
1410,Innovationsstiftung der Schwyzer Kantonalbank,CHE-113.181.704,Schwyz,Schwyz,3,4,"1,2",1,"1,2","3,4,5,6",,"47.0208159,8.6511419",https://www.szkb.ch/pub/firmenkunden/firmengruendung/finanzieren/innovationsstiftung
1412,Walter Züttel Stiftung,CHE-113.191.157,Zug,Zug,5,"2,3","1,2","1,2",2,"1,2","1,2,3,4,5,6,7,8","47.1825985,8.5214234",
1423,Starr International Foundation,CHE-113.227.200,Zug,Zug,5,"2,3",2,"1,2",2,2,"2,3,4,5,6","47.1787854,8.5180926",
1425,Alex Kaufmann Stiftung,CHE-113.236.854,St. Gallen,St. Gallen,2,3,2,2,"1,2",,8,"47.4250716,9.3763122",
1436,Little Troll Foundation,CHE-113.287.018,Genève,Genève,5,"1,3","2,4",2,2,,8,"46.1968714,6.1457630",http://www.troll-foundation.ch/
1439,Stiftung Wissenschaftliche Politikstipendien,CHE-113.298.358,Bern,Bern,4,1,4,2,"1,2",,5,"46.9470570,7.4366015",http://www.politikstipendien.ch
1443,INSEL Foundation,CHE-113.309.832,Bern,Bern,4,"1,2,3,4","2,4",1,"1,2","2,3,4,5,6",,"46.9477087,7.4255497",
1444,Werner Dessauer Stiftung,CHE-113.310.025,Zollikon,Zürich,4,"2,3","1,2",2,2,,"2,3,4,5,6,8","47.3333217,8.5787222",
1447,Stiftung für unternehmerische Entwicklung,CHE-113.330.884,Glattbrugg,Zürich,4,"1,3,4","1,4",1,1,"2,3,4,5,6",,"47.4327031,8.5587467",http://www.kmufuture.ch/
1451,Elsy Amsler - Stiftung,CHE-113.335.901,Kaisten,Aargau,5,"1,2,3,4",2,2,2,,"2,3,8","47.5382479,8.0431434",
1455,Stiftung Drs. Werner und Louise Greuter-Briner,CHE-113.359.416,Winterthur,Zürich,5,"2,3",2,2,2,,"1,2,3,4,5,6,7,8","47.5052494,8.7243270",
1456,Stiftung Schwendi-Obertoggenburg,CHE-113.359.422,Zürich,Zürich,2,"1,2,3,4",2,2,2,,"4,5,6","47.3534315,8.5980542",
1458,"Fondation ""TELLUS VIVA""",CHE-113.381.019,Zürich,Zürich,5,"1,2,3,4","1,2,3,4",2,2,,8,"47.3620161,8.5504983",
1467,McCall MacBain Foundation,CHE-113.481.678,Genève,Genève,5,"2,3,4",1,"1,2",2,1,8,"46.1982701,6.1437733",http://www.mccallmacbain.org/
1472,PARACELSUS FOUNDATION,CHE-113.503.630,Lugano,Ticino,5,"2,3,4",2,"1,2",2,"1,2",5,"46.0096885,8.9540432",
1475,Stiftung Wasserzyt,CHE-113.515.828,Spiez,Bern,5,"1,2,3,4",2,2,2,,8,"46.6916422,7.6819249",http://www.wasserzyt.ch
1478,Fondazione Montelaura,CHE-113.543.173,Roveredo,Graubünden,2,"1,2,3,4",1,2,2,,8,"46.2400000,9.1300000",http://www.coloniamontelaura.ch/upload_files/corso%20funghi.pdf
1481,Stiftung 3F Organisation,CHE-113.571.235,Olten,Solothurn,4,"1,3","1,2,4",2,"1,2",,8,"47.3534138,7.9042615",http://www.3fo.ch/de/index.php
1486,Fondation des Fondateurs,CHE-113.611.053,Zürich,Zürich,5,"1,2,3,4",1,"1,2","1,2","1,2,3,4,5,6","1,2,3,4,5,6,7","47.3702563,8.5460822",https://www.fondateurs.ch/en/home/?lang=set
1495,Fondation d'impulsion technologique et économique (FITEC),CHE-113.677.804,Delémont,Jura,3,4,1,"1,2","1,2","2,3,4,5,6",8,"47.3673026,7.3435574",http://www.fitec.ch/
1496,Fondation Jardin botanique scientifique et universitaire de Neuchâtel,CHE-113.678.092,Neuchâtel,Neuchâtel,3,4,1,"1,2",2,1,8,"47.0001364,6.9346864",http://www.jbneuchatel.ch/historique
1498,One Nature Foundation,CHE-113.683.621,Vevey,Vaud,4,"1,2,3,4",2,2,2,,8,"46.4573709,6.8511913",http://www.onenaturefoundation.org/
1499,The New Economic School Foundation,CHE-113.684.342,Sarnen,Obwalden,5,"1,2","1,4","1,2","1,2","1,2",5,"46.8965774,8.2506389",
1502,Wishdom International Foundation,CHE-113.691.922,Cham,Zug,5,"1,2,3,4",2,"1,2","1,2","1,2","1,2,3,4,5,6,7","47.1861207,8.4736495",
1518,Stiftung Josef Binkert AG,CHE-113.775.192,Wallisellen,Zürich,4,1,5,2,"1,2",,"4,5,6,7","47.4156838,8.5821551",https://www.binkertag.ch/site/de-ch/Unternehmen/Sozial-Partnerschaft
1519,Stiftung Monte Mediterráneo,CHE-113.778.144,Chur,Graubünden,5,1,4,2,2,,8,"46.8479578,9.5324903",http://www.fundacionmontemediterraneo.com/
1525,Ursula Wirz-Stiftung,CHE-113.802.340,Bern,Bern,4,"1,2,3,4","1,2,4,5","1,2","1,2","1,2,3,4,5,6","4,5,6,7","46.9402343,7.4312253",http://www.ursulawirz-stiftung.ch/
1527,FONDAZIONE Pierina Maria Storni,CHE-113.809.595,Sala Capriasca,Ticino,3,"2,3,4",1,2,"1,2",,"2,3,4,5,6,7","46.0655560,8.9563890",
1529,ABB Jürgen Dormann Foundation for Engineering Education,CHE-113.816.342,Baden,Aargau,5,1,4,2,1,,"5,6","47.4781989,8.3032502",http://new.abb.com/sustainability/foundation
1535,Zupo Stiftung,CHE-113.871.708,Herrliberg,Zürich,5,"2,3","1,2","1,2",2,"1,2","1,2,3,4,5,6,7","47.2918942,8.6193265",
1536,"ESPERIA - Stiftung für Kultur, Bildung und Wissenschaft",CHE-113.887.023,Zürich,Zürich,5,1,4,"1,2",1,"2,3,4,5,6","5,6,7","47.3759690,8.5368620",http://www.esperia-foundation.org/
1538,Stiftung Naturzentrum Glarnerland,CHE-113.900.698,Niederurnen,Glarus,3,"1,2,3,4",2,2,2,,8,"47.1245944,9.0565862",https://www.naturzentrumglarnerland.ch/%C3%BCber-uns/stiftung/
1539,"Fondation les pierres, le regard et la nature",CHE-113.907.370,Ménières,Fribourg,4,1,"2,4","1,2",2,1,"1,2,3,4,5,6,7,8","46.7855588,6.8860951",
1540,Good Energies Foundation ,CHE?113.910.604,Zug,Zug,5,"1,2,3,4",2,1,"1,2","2,3,4,5,6",,"47.1745298,8.5123869",https://www.goodenergies.org/
1541,Stiftung Netzwerk Bielersee,CHE-113.920.815,Biel/Bienne,Bern,4,"1,2,3,4",2,2,2,,8,"47.1386356,7.2454705",http://www.netzwerkbielersee.ch/de/
1546,Fondation pour le Globe de la science et de l'innovation (Foundation for the Globe of Science and Innovation),CHE-113.940.172,Meyrin,Genève,5,4,"1,2","1,2","1,2","1,2,3,4,5,6",8,"46.2296528,6.0533135",http://www.fondationglobe.ch/
1547,de Clivo - Stiftung,CHE-113.940.858,Zürich,Zürich,5,"1,3","2,4",2,2,,"2,3,4,5,6","47.3560334,8.5541880",http://www.declivo.ch/
1554,KPMG Foundation,CHE-113.961.613,Zürich,Zürich,5,3,"1,2",2,2,,"2,3,4,5,6,7","47.3753007,8.5201082",https://home.kpmg.com/ch/en/home/about/kpmg-foundation.html
1555,Foundation for Global Sustainability (FFGS),CHE-113.966.792,Zürich,Zürich,5,"1,2,3,4",2,1,"1,2","2,3,4,5,6",,"47.3771031,8.5334746",http://cleantech21.org/index.php?id=289
1557,Armin und Heidi Späni Stiftung,CHE-113.972.433,Kehrsiten,Nidwalden,5,"1,3","1,2,3,4",2,"1,2",,8,"46.9954193,8.3617419",
1561,Stiftung Dreiklang für ökologische Forschung und Bildung,CHE-113.977.726,Basel,Basel-Stadt,6,"1,2,3,4","1,2,4","1,2",2,"1,2,3,4,5,6","4,6,7","47.5343410,7.5997798",
1564,Fondation Addax et Oryx (Addax and Oryx Foundation),CHE-113.990.537,Genève,Genève,5,3,2,2,2,,8,"46.1929970,6.1523326",http://www.addax-oryx-foundation.org
1567,Stiftung e-vision,CHE-113.999.834,Zürich,Zürich,5,"2,3","1,2",2,"1,2",,"2,3,4,5,6,7","47.3698308,8.5438325",
1570,The TreadRight Foundation,CHE-114.006.831,Cointrin,Genève,5,3,"1,2","1,2",2,"1,2,3,4,5,6",8,"46.2237547,6.1094253",https://www.treadright.org/
1572,"Stiftung für Innovation, Entwicklung und Forschung Graubünden",CHE-114.012.398,Chur,Graubünden,3,"1,3,4","1,2",1,"1,2","1,2,3,4,5,6",,"46.8512493,9.5338018",http://www.gr.ch/DE/institutionen/verwaltung/dvs/awt/innovation/ueberuns/Seiten/default.aspx
1574,Adolphe Merkle-Stiftung,CHE-114.013.268,Fribourg,Fribourg,3,"1,3,4","1,2,4","1,2","1,2","1,2,3,4,5,6",5,"46.8020814,7.1534678",http://www.fondation-vm.ch/fr/fondation-adolphe-merkle.html
